source,source_tag,sha256,identical_to,note
af_benchmark_three_way.py,loose,74435b69d6734d689b8848d5343bff023ab90a72410d92cf8d1bba80141ce467,runtime/af_benchmark_three_way.py,identical to canonical copy
agent_gating_poc_v2.py,loose,b4093a4a4551ced2cb701a7bab9afdcc0d68b6182ec2fdce8bc9f40374f334e4,runtime/aag/agent_gating_poc_v2.py,identical to canonical copy
agent_gating_poc_v5.py,loose,b09d33f4b2d10609f676f75d71eed362b1fc307792b0d780a6a9e2f986a891b0,runtime/aag/agent_gating_poc_v5.py,identical to canonical copy
ahd_layer_sweep_4b.py,loose,0a946dd3622b9d42bd49058c0970d39bfbfefdb5876d15cf8f5f44d57e959d0a,runtime/ahd/ahd_layer_sweep_4b.py,identical to canonical copy
apc_poc.py,loose,1303fa4e17d344f78971b54301df13a0459585a96771d5554506a2f8b264e255,runtime/apc/apc_poc.py,identical to canonical copy
apc_poc_v2.py,loose,b8c78f24d4b3f4deeedcb5e13e198721db5a4dacaac99e1d3d9a55bf2b4a3a9f,runtime/apc/apc_poc_v2.py,identical to canonical copy
eval_harmbench.py,loose,1cfcbef00d1f1faa76d4007e98eb6765161b3f4b5425002cdc7c2cfea5dda22b,package/eval_harmbench.py,identical to canonical copy
fix_aag_final.py,loose,60fd6249de171e6b54f309181a174ca02e56267a865faf2e66b7a4442219032b,package/fix_aag_final.py,identical to canonical copy
ihe_analyze.py,loose,a0d5886480851c6b5d9bf79bfc8c362b1411363c307ff4d3ab8875a0a466fb8e,runtime/ihe/ihe_analyze.py,identical to canonical copy
injecagent_benchmark_v4.py,loose,991176abb0ab55832f100b707040114e3a790b01cbf3969914416b3bfe4b912a,runtime/aag/injecagent_benchmark_v4.py,identical to canonical copy
phase1_live_agent_v2.py,loose,9007d1c1303c2b75363ee6a1358b7b992659b77ea68cf8661b1bc9b83e104645,runtime/aag/phase1_live_agent_v2.py,identical to canonical copy
phase1_live_agent_v4.py,loose,c201a91ec8ed1ac050beda6c67afc726fabde37d8dd5e97961c0aa48573078d5,runtime/aag/phase1_live_agent_v4.py,identical to canonical copy
phase1_live_agent_v5.py,loose,63e928c46ba3a9033ca1192371f086ddd3b9fe5a672ce60d2efb27d84d04b0ee,runtime/aag/phase1_live_agent_v5.py,identical to canonical copy
pretrain_gemma3_fixed.py,loose,df27204b40cd5210898cfe6bc5a269e60c463e22a4431ae0c9c47a6cfcd31f36,release/aase-release/scripts/pretrain_gemma3_fixed.py,identical to canonical copy
recalibrate_probes.py,loose,d73a06e88ebff9c8f48f404fdae422c847166f1a61a6120534a795b10b9712e4,package/recalibrate_probes.py,identical to canonical copy
recalibrate_v2.py,loose,0ecd65868b7b91d88dc7f3e418c5ff8d392c8cf265774206578b703d0bbe7953,release/aase-release/scripts/recalibrate_v2.py,identical to canonical copy
retrain_aag_all_models.py,loose,b5ed3868f769a600eed43353d90d26de7173594438678aa5322a7090d693ccb2,package/retrain_aag_all_models.py,identical to canonical copy
retrain_aag_injecagent.py,loose,b21506d65113a4395af0a98b5e8ed32906de5819d121d58d2bbe98ee7fb0b8aa,package/retrain_aag_injecagent.py,identical to canonical copy
tune_aag_threshold.py,loose,55d083b96b0b0689a458bc943a1110bbd3a93e84abbe4d88fe9b75a4849782fd,package/tune_aag_threshold.py,identical to canonical copy
tune_all_thresholds.py,loose,15b6e9284341165c015e873b6d40b6b71dc77b946a341a8da8a95dbd80be2bf9,package/tune_all_thresholds.py,identical to canonical copy
